event_id,asset,market_id,window,source_time,observation_time,market_time,reaction_time,observed_diff_ms,move_pct,poll_interval_ms,quality,note,collector_version
3949831@1787994154,SOL,3949831,5m,2026-08-29T09:02:25.484167657Z,2026-08-29T09:02:34.151025+00:00,1787994154930,,9446,,15000,LOW,observed timing difference; causality not established,0.1.0
3949833@1787994154,XRP,3949833,5m,2026-08-29T09:02:31.310537315Z,2026-08-29T09:02:34.151025+00:00,1787994155153,,3842,,15000,LOW,observed timing difference; causality not established,0.1.0
3949837@1787994154,ETH,3949837,5m,2026-08-29T09:02:29.489600568Z,2026-08-29T09:02:34.151025+00:00,1787994155748,,6258,,15000,LOW,observed timing difference; causality not established,0.1.0
3949839@1787994154,BTC,3949839,5m,2026-08-29T09:02:33.403516066Z,2026-08-29T09:02:34.151025+00:00,1787994156176,,2772,,15000,LOW,observed timing difference; causality not established,0.1.0
3949833@1787994169,XRP,3949833,5m,2026-08-29T09:02:34.545612358Z,2026-08-29T09:02:49.151160+00:00,1787994169580,,15034,,15000,MEDIUM,observed timing difference; causality not established,0.1.0
3949837@1787994169,ETH,3949837,5m,2026-08-29T09:02:34.122869654Z,2026-08-29T09:02:49.151160+00:00,1787994170114,,15991,,15000,MEDIUM,observed timing difference; causality not established,0.1.0
3949831@1787994169,SOL,3949831,5m,2026-08-29T09:02:45.273039415Z,2026-08-29T09:02:49.151160+00:00,1787994170391,,5118,,15000,LOW,observed timing difference; causality not established,0.1.0
3949839@1787994169,BTC,3949839,5m,2026-08-29T09:02:48.579127801Z,2026-08-29T09:02:49.151160+00:00,1787994170873,,2294,,15000,LOW,observed timing difference; causality not established,0.1.0
3949831@1787994184,SOL,3949831,5m,2026-08-29T09:03:03.244068354Z,2026-08-29T09:03:04.151293+00:00,1787994184748,,1504,,15000,LOW,observed timing difference; causality not established,0.1.0
3949833@1787994184,XRP,3949833,5m,2026-08-29T09:03:00.425999951Z,2026-08-29T09:03:04.151293+00:00,1787994185147,,4721,,15000,LOW,observed timing difference; causality not established,0.1.0
3949837@1787994184,ETH,3949837,5m,2026-08-29T09:02:49.157566948Z,2026-08-29T09:03:04.151293+00:00,1787994185534,,16376,,15000,MEDIUM,observed timing difference; causality not established,0.1.0
3949839@1787994184,BTC,3949839,5m,2026-08-29T09:03:03.776689835Z,2026-08-29T09:03:04.151293+00:00,1787994185906,,2129,,15000,LOW,observed timing difference; causality not established,0.1.0
3949839@1787994199,BTC,3949839,5m,2026-08-29T09:03:17.948585773Z,2026-08-29T09:03:19.151417+00:00,1787994199695,,1746,,15000,LOW,observed timing difference; causality not established,0.1.0
3949831@1787994199,SOL,3949831,5m,2026-08-29T09:03:16.636767481Z,2026-08-29T09:03:19.151417+00:00,1787994200071,,3434,,15000,LOW,observed timing difference; causality not established,0.1.0
